"year","West.Germany","USA","UK","Austria","Belgium","Denmark","France","Italy","Netherlands","Norway","Switzerland","Japan","Greece","Portugal","Spain","Australia","New.Zealand"
1970,76.3097960808191,-261.804684768364,-227.095821792476,-610.931399860717,-269.798915157404,439.740670332788,219.654307471536,-152.42611087527,441.440734063154,-44.2319644182944,1383.34824112981,-888.244585143106,-257.071064314861,-761.420064703091,330.166200602623,327.51060288563,482.561153525323
1971,21.8360649708702,-315.362599472794,-302.125124565565,-560.885395436579,-286.876085588498,433.957542270954,275.67564609584,-216.531714583505,463.177872486433,-5.80476298344138,1576.36462923665,-923.773945381943,-166.685810067268,-837.266982028327,329.635077706371,191.448193135541,445.433584787536
1972,-29.4465984297703,-258.022930141954,-409.707047717906,-513.56690571268,-255.549494796341,452.049927863792,226.751793824581,-325.06674513191,347.808263678126,-91.9620466309611,1568.39213019132,-938.796987443582,-89.4024907818848,-945.58040172703,400.969450950579,152.636216163923,402.614820768236
1973,-50.4062094134233,-161.352352299203,-400.946240599346,-562.820333543596,-209.186898428817,361.170152596716,234.672829087756,-348.180742596399,325.858719920874,-270.270049457123,1534.4333955535,-986.96731982222,-65.435013558726,-966.180509669924,368.761593973584,204.342516249095,464.362537879477
1974,-108.172382126352,-257.460874771159,-590.00333358541,-450.976139200836,-176.736773075289,235.584077131071,487.668769819034,-106.973846840411,375.748165344359,18.6582009318745,1849.44393014203,-1197.7084371265,-279.555555599056,-996.851253190898,598.379304908822,43.0666708494264,818.354155472098
1975,-69.8822157031218,4.31888123284534,-612.637754543954,-435.003956012021,-105.098259461233,200.062666787519,583.685934163915,-231.490484266769,434.303718994671,288.211347838446,1415.44438744998,-1173.89130672239,155.611737722994,-1514.98292403526,862.530797735915,230.121491594886,650.001233359445
1976,63.1378823723844,190.814203261223,-763.219321115285,-491.040494752988,135.098191849054,353.326368082293,569.92273020299,-81.831005707948,374.837565241112,482.139731620577,1068.49109803294,-1337.94810893612,148.571272190231,-1617.33099688855,803.630953701072,131.623075622639,425.446068267744
1977,31.0670319673009,342.98102004125,-802.203073745719,-370.585533549148,32.0927800351346,282.000858526309,674.434200317705,-124.752092524736,398.029094964388,556.532866931322,1094.54914180858,-1447.90573019856,107.771945297492,-1637.19502771502,782.016052734633,6.40802582450215,7.89198206540186
1978,142.27725794445,699.813494707749,-863.768075590795,-636.71793895185,181.004499827864,160.940040794987,780.161310822582,-136.210546891848,404.273100899765,532.569839779927,774.636636393678,-1545.29260135835,363.613213726745,-1904.62276099804,740.797006542874,115.432160812367,-293.778826063317
1979,197.944814308463,718.631890721737,-863.803460472776,-541.287900411067,318.653903905131,235.638913974502,818.593298824693,24.5242287476249,256.371603356472,592.373108479263,883.657919331617,-1446.56898885709,301.522935293894,-1929.46928698442,517.153745766074,180.657855167097,-523.737082703825
1980,176.144658310428,430.592321863396,-1256.42337621741,-499.486801002688,567.592774743647,99.5908875474615,968.616985682938,240.710930960204,68.7945921266437,983.298264000858,1667.62593815764,-1346.66534888887,221.64231349758,-1954.75138109522,528.826232853546,339.297446524648,-618.434835434997
1981,113.906208351103,694.836400889979,-1551.01874395002,-603.737603413592,613.943658301743,-153.162659528552,1201.92853345673,232.128080400811,-43.5623733738994,1038.33931263579,1805.7067939386,-1367.9896739228,95.595750619801,-1941.72436711909,497.81876478236,547.668224017094,-364.692481707432
1982,46.3922723504566,312.464354602422,-1341.63961377986,-371.182134981789,833.542852839646,242.883096332751,1301.90440450486,230.021953406849,-321.404285286419,917.53738430876,2023.62748238004,-984.867661492124,-227.236362989579,-1892.49710848973,483.129127906305,-147.413849246199,67.7308133183906
1983,-21.3199144717419,693.09889988465,-1252.17001696016,-210.297930977176,800.115212755794,223.854567816254,1393.09193273179,105.173120046993,-345.020264001463,1184.28594132082,1603.72850472804,-1288.21796216221,-441.315911322532,-1951.59111041672,571.044901618941,-128.240409996844,121.573935368635
1984,88.6805131095825,1248.19307679765,-1508.94975110701,-679.940312749268,873.234348850594,214.29428781754,1306.00251590264,30.7251860115648,-297.360057668382,1726.25684965159,1161.89870952138,-1714.87128213155,-406.545716564648,-2306.51737935381,745.101583944692,-367.696024734067,265.709529446591
1985,17.3271997014563,1322.97149658365,-1487.1808806817,-686.284413563724,816.596788129047,362.874451443942,1093.91803722254,-39.0514245417489,-291.681573795751,2030.32740749677,1212.93460638652,-1635.61719431001,-529.379252806177,-2377.73820367187,706.606703038902,-205.062168515044,-21.4064406275174
1986,47.6670946181221,1402.43649907524,-1381.59797383402,-750.560270917287,792.099718752319,605.971322624076,931.274987599001,-77.2267642873339,-220.356091561531,2240.44581766885,1019.97572389819,-1735.87224249234,-924.401406572806,-2248.27172966798,678.198643907435,-350.875117874117,-11.3799231225694
1987,-5.86030336043041,1771.15946303404,-1267.50485293599,-767.911127129555,811.955977736572,230.624639507341,953.144512271429,-64.7959840907788,-346.204127001607,2043.51810682892,714.033771485418,-1808.00587611009,-1504.57110777589,-1847.28109421109,725.01484554188,73.707129192373,-157.732545804554
1988,-65.17733793359,2055.35690448106,-1246.61560290159,-729.279141665942,1042.6977638599,-167.808445749375,1053.9466094829,-119.898409303307,-618.992656854658,1191.75080563202,624.087579685278,-1527.49472374834,-1637.1663494524,-1707.0987840394,633.622575490532,371.03035422856,-911.726944920294
1989,-163.06549856516,2247.704723964,-1540.89530997212,-695.487924831072,947.344203149307,-637.5644262114,1248.60009648687,-154.176385190647,-476.260084589212,676.958542586905,919.131546625318,-1330.10769617449,-1740.71279458973,-1565.85552812339,633.541868145254,212.996032755753,-1321.9432054074
1990,8.0295881724669,2103.01905707421,-1889.53741708788,-726.574767238511,939.900181491823,-804.925728515307,1241.66395169104,-142.38424386557,-422.922711524661,326.328575759275,1455.05657267398,-776.403182230002,-2211.6197482909,-1300.17231502465,719.920638090545,-442.873108000564,-1798.53819261744
1991,268.208590450155,2000.16540847833,-2313.85364169564,-609.599823971988,1135.7026197906,-598.586750378636,1048.45651027868,0.80808327590421,-419.682545920623,515.832064233942,1333.87827398019,-102.56786481123,-2513.23220699996,-1059.46012362174,695.661438365674,-477.93456016816,-2640.13645584748
1992,88.2769156479153,2504.23482786213,-2617.1594444742,-366.27147456165,1362.20595975269,-530.103334131087,1132.6576083226,-73.7566065743522,-529.15343521359,946.732700999964,632.960986640297,-300.326189563566,-2841.8027449084,-922.092829992025,665.376081812945,-309.481787169127,-2732.72801795739
1993,-642.60984970679,3048.3564015927,-2248.39839657205,11.7601881924638,1276.81272157142,-689.273904266738,972.064082616282,-191.377215331082,-281.389649969697,1362.41480089217,19.0955581581256,-452.428061643746,-3022.13286951822,-938.730389404667,626.429206901743,-165.2650955926,-2078.38048856102
1994,-1064.11825826288,3304.22204081134,-2085.73697047244,354.496526650899,1599.1545858787,-252.592546192453,745.197069740621,-279.313700430419,-343.897239470545,2095.69083399918,-637.789985649935,-851.074791185823,-3411.86262171295,-1048.99577669643,714.452505039559,-134.62698371931,-1776.19124538268
1995,-1217.45285264684,3482.86110348727,-2031.58457528388,511.408686605795,1768.97045524067,-127.842036629623,702.068878691654,-159.737492859349,-216.132052988105,2622.92297368913,-1087.78787000339,-890.541626158447,-3860.79486464198,-782.467944939712,588.39428509828,194.685681144572,-1778.68573421196
1996,-1474.30817501206,4189.83222285994,-1756.55073928039,848.51490659398,1619.76193858896,113.588633852167,437.410845951417,-457.477740484162,73.6340147956871,3932.64201294689,-2418.79261443683,-769.905350938843,-4189.65888440175,-747.064600236485,628.922238228817,-7.36830938858839,-2021.89101513195
1997,-1962.99734109937,4372.43820572112,-1364.45624094563,844.615144585237,1330.13596746058,139.208910186491,584.140088711436,-893.514997199218,553.716287846146,4564.40946988134,-2410.63768771372,-1186.09386941881,-4409.45145388617,-624.959792033511,467.199711397472,79.4578376071622,-2316.28276903227
1998,-2022.83822532992,4734.35079570055,-1448.7776082667,963.644270242556,1018.38614638297,-5.00990407730205,1129.21336161541,-466.069228650649,868.92484102185,3868.63979999574,-2682.36829911958,-2421.20235736767,-4540.84710561674,-756.941482338978,822.845785206973,806.126041429718,-2917.27220771942
1999,-2181.26422096404,5540.41320028576,-1838.69535944923,1328.51226721471,760.081457585988,451.046431971299,841.835739429476,-724.934826019045,863.932639022034,6142.34959730977,-4139.24689896392,-3588.97771912588,-5132.87202733118,-633.443100177403,1284.66726184396,794.024942310611,-2544.34321590258
2000,-2644.02376645785,5507.26682191,-1762.66344211021,1956.91710368498,1096.69561371189,495.970074845525,989.212445229372,-888.331514604317,919.605728616058,11059.4516261123,-4140.44155111782,-3744.12228769272,-5320.97325712958,-783.101175912492,1415.03013283675,32.7516568620485,-3160.40037963263
2001,-2817.60545145465,5494.24440469946,-1407.658741647,1858.99390204288,1259.47644981073,413.022641993655,1495.19873156333,-991.091923277228,1767.29273574087,11084.2323713946,-4533.42562279259,-4037.44859764773,-5097.9207307474,-1170.55391770175,1769.18748326785,221.59773717654,-3097.28997621466
2002,-2952.75159328246,4993.51753116927,-692.028097395119,2047.96349265541,1161.62299395586,-327.579507400977,1702.00622789096,-1315.13153211954,1486.87771970245,9762.88095167286,-3427.34094594372,-4535.75267473979,-3948.73740710326,-2116.77960462834,2380.25125898816,830.806049685223,-3529.59951147252
2003,-3372.80792501853,5709.88974851726,-1125.19157306432,2325.77571253152,1094.91849141086,-689.578340616878,1738.71832670164,-1925.5008772442,1203.12298387902,9741.7793618063,-4030.17678328724,-4917.04475887315,-2035.66154202191,-4555.59442654801,4185.38164434981,1276.85438512826,-3421.89938787582
